id;configuration_parameter_id;name;rank;note;price
1;1;"=""Pravý""";10;"=""""";0,00
2;1;"=""Zásuvkový""";20;"=""""";0,00
3;1;"=""Levý""";30;"=""""";0,00
4;2;"=""18 mm""";1;"=""""";0,00
5;2;"=""22 mm""";2;"=""""";0,00
6;2;"=""26 mm""";3;"=""""";0,00
7;2;"=""32 mm""";4;"=""""";0,00
8;2;"=""38 mm""";5;"=""""";0,00
9;3;"=""16,5 mm""";1;"=""""";0,00
10;3;"=""19 mm""";2;"=""""";0,00
11;4;"=""Nikl lesk""";1;"=""""";0,00
12;4;"=""Černá matná""";2;"=""""";0,00
13;4;"=""Bronz""";3;"=""""";0,00
14;4;"=""Chrom satin""";4;"=""""";0,00
15;4;"=""Mosaz""";5;"=""""";0,00
16;5;"=""Bez brzdy""";1;"=""""";0,00
17;5;"=""S brzdou""";2;"=""""";0,00
18;6;"=""30 mm""";1;"=""""";0,00
19;6;"=""40 mm""";2;"=""""";0,00
20;6;"=""50 mm""";3;"=""""";0,00
21;7;"=""43 mm""";1;"=""""";0,00
22;7;"=""56 mm""";2;"=""""";0,00
23;7;"=""65 mm""";3;"=""""";0,00
24;8;"=""32 mm""";1;"=""""";0,00
25;8;"=""41 mm""";2;"=""""";0,00
26;8;"=""47 mm""";3;"=""""";0,00
27;9;"=""15 kg""";1;"=""""";0,00
28;9;"=""25 kg""";2;"=""""";0,00
29;9;"=""30 kg""";3;"=""""";0,00
30;10;"=""27 x 27 mm""";1;"=""""";0,00
31;10;"=""32 x 32 mm""";2;"=""""";0,00
32;11;"=""38 x 38 x 2 mm""";1;"=""""";0,00
33;11;"=""42 x 42 x 2 mm""";2;"=""""";0,00
34;12;"=""Kov + plast""";1;"=""""";0,00
35;12;"=""Celokovový""";2;"=""""";0,00
36;13;"=""Různý klíč""";1;"=""nejčastější""";0,00
37;13;"=""Stejný klíč""";2;"=""""";0,00
38;2;"=""23 mm""";6;"=""""";0,00
39;3;"=""21,5 mm""";3;"=""""";0,00
40;2;"=""20 mm""";7;"=""""";0,00
41;2;"=""21 mm""";8;"=""""";0,00
42;2;"=""24 mm""";9;"=""""";0,00
43;3;"=""22 mm""";4;"=""""";0,00
44;4;"=""Černá lesk""";6;"=""""";0,00
45;2;"=""16 mm""";10;"=""""";0,00
46;2;"=""44 mm""";11;"=""""";0,00
47;4;"=""Chrom lesk""";7;"=""""";0,00
48;3;"=""11 mm""";5;"=""""";0,00
49;3;"=""18 mm""";6;"=""""";0,00
50;2;"=""25 mm""";12;"=""""";0,00
51;2;"=""30 mm""";13;"=""""";0,00
52;12;"=""Trubkový kov""";3;"=""""";0,00
53;12;"=""Vnitřní trojhranný""";4;"=""""";0,00
54;14;"=""500 mm""";1;"=""""";0,00
55;14;"=""600 mm""";2;"=""""";0,00
58;14;"=""700 mm""";3;"=""""";0,00
59;14;"=""800 mm""";4;"=""""";0,00
60;14;"=""1000 mm""";5;"=""""";0,00
61;14;"=""1200 mm""";6;"=""""";0,00
62;14;"=""1300 mm""";7;"=""""";0,00
63;14;"=""1500 mm""";9;"=""""";0,00
64;15;"=""8 mm""";1;"=""""";0,00
65;15;"=""13 mm""";2;"=""""";0,00
66;15;"=""19 mm""";3;"=""""";0,00
68;16;"=""Hliník""";1;"=""""";0,00
69;16;"=""Ocel""";2;"=""""";0,00
70;16;"=""Mosaz""";3;"=""""";0,00
71;16;"=""Zamak""";4;"=""""";0,00
72;16;"=""Plast""";5;"=""""";0,00
73;12;"=""Obyčejný""";5;"=""""";0,00
74;4;"=""Žlutý zinek""";9;"=""""";0,00
75;12;"=""Trubkový plast""";6;"=""""";0,00
76;4;"=""Nikl satin""";10;"=""""";0,00
77;4;"=""Kartáčovaná ocel""";11;"=""""";0,00
78;16;"=""Zamak + plast""";6;"=""""";0,00
79;4;"=""Kartáčovaná ocel + chrom lesk""";12;"=""""";0,00
80;16;"=""Nerez""";7;"=""""";0,00
84;14;"=""5 mm""";10;"=""""";0,00
85;14;"=""10 mm""";11;"=""""";0,00
86;14;"=""20 mm""";12;"=""""";0,00
87;4;"=""Hnědá""";13;"=""""";0,00
88;16;"=""Kov + plast""";8;"=""""";0,00
89;4;"=""Bílý zinek""";14;"=""""";0,00
90;16;"=""Pryž""";9;"=""""";0,00
91;17;"=""2 mm""";3;"=""""";0,00
92;17;"=""3 mm""";4;"=""""";0,00
93;17;"=""4 mm""";5;"=""""";0,00
94;17;"=""5 mm""";6;"=""""";0,00
96;4;"=""Hliník eloxovaný""";15;"=""""";0,00
97;4;"=""Bílá""";16;"=""""";0,00
98;18;"=""6 mm""";1;"=""""";0,00
99;18;"=""8 mm""";2;"=""""";0,00
100;18;"=""10 mm""";3;"=""""";0,00
101;18;"=""12 mm""";4;"=""""";0,00
102;8;"=""45 mm""";4;"=""""";0,00
103;9;"=""50 kg""";4;"=""""";0,00
104;6;"=""65 mm""";4;"=""""";0,00
105;7;"=""78 mm""";4;"=""""";0,00
106;6;"=""75 mm""";5;"=""""";0,00
107;9;"=""70 kg""";5;"=""""";0,00
108;7;"=""90 mm""";5;"=""""";0,00
109;8;"=""20 mm""";5;"=""""";0,00
110;8;"=""23 mm""";6;"=""""";0,00
111;10;"=""38 x 38 mm""";3;"=""""";0,00
112;11;"=""50 x 50 x 1,8 mm""";3;"=""""";0,00
113;7;"=""28 mm""";6;"=""""";0,00
114;7;"=""30 mm""";7;"=""""";0,00
115;7;"=""32 mm""";8;"=""""";0,00
116;7;"=""39 mm""";9;"=""""";0,00
117;7;"=""100 mm""";10;"=""""";0,00
118;7;"=""97 mm""";11;"=""""";0,00
119;7;"=""72 mm""";12;"=""""";0,00
120;7;"=""104 mm""";13;"=""""";0,00
121;7;"=""102 mm""";14;"=""""";0,00
122;7;"=""132 mm""";15;"=""""";0,00
123;7;"=""70 mm""";16;"=""""";0,00
124;7;"=""67 mm""";17;"=""""";0,00
125;8;"=""13 mm""";7;"=""""";0,00
126;8;"=""14 mm""";8;"=""""";0,00
127;8;"=""16 mm""";9;"=""""";0,00
128;8;"=""18 mm""";10;"=""""";0,00
129;8;"=""21 mm""";11;"=""""";0,00
130;8;"=""25 mm""";12;"=""""";0,00
131;9;"=""80 kg""";6;"=""""";0,00
132;9;"=""60 kg""";7;"=""""";0,00
133;9;"=""100 kg""";8;"=""""";0,00
134;9;"=""45 kg""";9;"=""""";0,00
135;6;"=""25 mm""";6;"=""""";0,00
136;6;"=""29 mm""";7;"=""""";0,00
137;6;"=""32 mm""";8;"=""""";0,00
138;6;"=""14 mm""";9;"=""""";0,00
139;6;"=""76 mm""";10;"=""""";0,00
140;6;"=""100 mm""";11;"=""""";0,00
141;10;"=""32 mm""";4;"=""""";0,00
142;10;"=""46 mm""";5;"=""""";0,00
143;10;"=""20 mm""";6;"=""""";0,00
144;10;"=""45,5 x 45,5 mm""";7;"=""""";0,00
145;10;"=""35 x 35 mm""";8;"=""""";0,00
146;10;"=""45 x 45 mm""";9;"=""""";0,00
147;19;"=""M10 x 30 mm""";1;"=""""";0,00
148;11;"=""19 x 42 mm""";4;"=""""";0,00
149;11;"=""d.26 mm""";5;"=""""";0,00
150;11;"=""20 x 58 mm""";6;"=""""";0,00
151;11;"=""60 x 60 x 2,5 mm""";7;"=""""";0,00
