id;name;link;rank;meta_keywords;meta_description;h1;description;parent_id;show;discount;discount_type;subcategories_discount;discount_since;discount_to;show_products;code;menu_name;products
1;Nábytkové zámky;nabytkove-zamky;2;nábytkové, zámky, typ, centrální, klíč, jazýček, kombinační, mincovní, klika, bajonetový, mic, na sklo, plechový, protiplech, univerzál, typ 300;;Nábytkové zámky;<p> 	Nábytkové zámky</p> ;NULL_VALUE;1;0,00;1;0;NULL_VALUE;NULL_VALUE;1;NULL_VALUE;Nábytkové zámky;
2;Kování na sklo;kovani-na-sklo;3;kování, sklo, program, skleněný, držák, závěs, konzola, magnet, šroub, podpěra, posuvný, spoj, těsnící, profil, úchytka, zámek,  ;;Kování na sklo;<p> 	Kování na sklo</p> ;NULL_VALUE;1;0,00;1;0;NULL_VALUE;NULL_VALUE;1;NULL_VALUE;Kování na sklo;
3;Kolečka, nožky a kluzáky;kolecka-nozky-a-kluzaky;4;kolečko, nožka, kluzák, stavitelný, transportní;;Kolečka, nožky a kluzáky;<p> 	Kolečka, nožky a kluzáky</p> ;NULL_VALUE;1;0,00;1;0;NULL_VALUE;NULL_VALUE;1;NULL_VALUE;Kolečka, nožky a kluzáky;
4;Příslušenství pro stoly;prislusenstvi-pro-stoly;5;příslušenství,stoly,závěs,pant,plech,spojovací,kování,držák;;Příslušenství pro stoly;<p> 	Příslušenství pro stoly</p> ;NULL_VALUE;1;0,00;1;0;NULL_VALUE;NULL_VALUE;1;NULL_VALUE;Příslušenství pro stoly;5077,5078,5079,5080,5081,5082,5083,5084,5085,5086,5092,5102,5103,5157,5163,5189,5191,5301,5302,5303,5304,5305,5306,5307,5308,5309,5311,5315,5343,5349,5354,5364,5377,5378,5438,5451,5466,5467,5476,5482,5483,5495,5498,5499,5502,5503
5;Nábytkové spoje;nabytkove-spoje;6;nábytkové, spoje, šroub, matice, kombinovaný;;Nábytkové spoje;<p> 	Nábytkové spoje</p> ;NULL_VALUE;1;0,00;1;0;NULL_VALUE;NULL_VALUE;1;NULL_VALUE;Nábytkové spoje;5040,5041,5042,5043,5044,5045,5046,5047,5048,5049,5050,5051,5052,5053,5054,5055,5056,5057,5058,5059,5060,5061,5063,5065,5071,5076,5298,5361,5423,5424,5453,5472,5473,5497,5531,5545,5558
6;Rozebíratelné spoje;rozebiratelne-spoje;7;rozebírat, spoj, kování, dřík, excentr, šroub, váleček, spojovací, segment, hlava, systém;;Rozebíratelné spoje;<p> 	Rozebíratelné spoje</p> ;NULL_VALUE;1;0,00;1;0;NULL_VALUE;NULL_VALUE;1;NULL_VALUE;Rozebíratelné spoje;5030,5031,5032,5033,5034,5035,5036,5037,5038,5039,5120,5121,5122,5123,5124,5125,5126,5127,5128,5129,5130,5133,5134,5135,5136,5137,5138,5139,5143,5146,5147,5148,5149,5150,5151,5152,5153,5154,5155,5156,5157,5295,5298,5310,5353,5354,5394,5395,5396,5398,5399,5400,5401,5402,5403,5451,5472,5473,5476,5481,5512,5513,5525,5531,5534,5535,5536,5542
7;Zásuvkové výsuvy;zasuvkove-vysuvy;8;zásuvkové, výsuvy, mikrovýsuv, klávesnice;;Zásuvkové výsuvy;<p> 	Zásuvkové výsuvy</p> ;NULL_VALUE;1;0,00;1;0;NULL_VALUE;NULL_VALUE;1;NULL_VALUE;Zásuvkové výsuvy;5106,5212,5360,5559
8;Závěsy do masivu;zavesy-do-masivu;9;závěs, masiv, pant, dveřní, skrytý, stolový, push, tlumič, kloubový, tlumič;;Závěsy do masivu;<p> 	Závěsy do masivu</p> ;NULL_VALUE;1;0,00;1;0;NULL_VALUE;NULL_VALUE;1;NULL_VALUE;Závěsy do masivu;5082,5083,5084,5085,5086,5107,5108,5109,5110,5111,5112,5113,5114,5115,5116,5117,5118,5119,5296,5316,5349,5350,5357,5358,5362,5364,5370,5380,5404,5405,5406,5407,5408,5425,5442,5466,5467,5509,5522,5546,5547,5548,5549
9;Průchodky;pruchodky;13;průchodka, kování, stůl, stolové, kabel, hák;;Průchodky;<p> 	Průchodky</p> ;NULL_VALUE;1;0,00;1;0;NULL_VALUE;NULL_VALUE;1;NULL_VALUE;Průchodky;5222,5223,5224,5225,5226,5436,5437,5458,5505,5506,5507,5508
10;Kování pro zahradní nábytek;kovani-pro-zahradni-nabytek;11;kování, zahradní, nábytek, doraz, houpačka, hlava, plech, ;;Kování pro zahradní nábytek;<p> 	Kování pro zahradní nábytek</p> ;NULL_VALUE;1;0,00;1;0;NULL_VALUE;NULL_VALUE;1;NULL_VALUE;Kování pro zahradní nábytek;5030,5031,5032,5034,5094,5095,5096,5097,5098,5099,5162,5349,5351,5352,5393,5516,5517,5518,5519,5520,5521
12;Úchytky;uchytky;14;Úchytky;;Úchytky;<p> 	Úchytky</p> ;NULL_VALUE;1;0,00;1;0;NULL_VALUE;NULL_VALUE;1;NULL_VALUE;Úchytky;5167,5168,5169,5170,5171,5172,5192,5193,5238,5239,5240,5241,5243,5244,5245,5246,5247,5248,5249,5250,5251,5252,5253,5254,5255,5256,5257,5258,5259,5260,5261,5262,5263,5264,5265,5266,5267,5268,5269,5270,5271,5272,5273,5274,5275,5276,5277,5278,5279,5528
