id;h1;link;meta_keywords;meta_description;original_code;own_code;ean_code;vat_id;base_price;common_retail_price;shopping_price;discount;discount_type;stocked_items;minimal_count;product_availability_id;availability_description;guarantee;guarantee_unit;short_description;main_description;homepage;sale;recommended;show;supplier_id;producer_id;configuration_parameter_group_id;name;is_vat_included;facebook;social_plugin;new_product;discount_since;discount_to;show_top_category_description;show_2nd_top_category_description;show_3rd_top_category_description;max_cpc;toll_free;price_per_descriptive_parameter_id;meta_title;feed_name;categories;relatedProducts
4712;Nábytkový zámek SISO 850;nabytkovy-zamek-siso-850;nábytkový, zámek, 850, siso;;;51dae4d90e473;;5;0,00;0,00;0,00;0,00;1;0,00;0,00;7;;2;years;;;1;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek SISO 850;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek SISO 850;Nábytkový zámek SISO 850;14,16;
4724;Nastavitelný nábytkový zámek Serbia;nastavitelny-nabytkovy-zamek-serbia;;;;1401015;;5;157,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Nábytkový zámek s možností nastavení osové vzdálenosti.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nastavitelný nábytkový zámek Serbia;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nastavitelný nábytkový zámek Serbia;Nastavitelný nábytkový zámek Serbia;14;
4725;Nastavitelný nábytkový zámek X-965;nastavitelny-nabytkovy-zamek-x-965;;;;5236c9d082636;;5;1,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Nábytkový zámek s možností nastavení osové vzdálenosti a následnou fixací 15, 20, 25, 30, 35 a 40 mm.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nastavitelný nábytkový zámek X-965;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nastavitelný nábytkový zámek X-965;Nastavitelný nábytkový zámek X-965;14,16;
4726;Nábytkový zámek Millennium 850-N;nabytkovy-zamek-millennium-850-n;;;;523aac79bf82b;;5;0,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek Millennium 850-N;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek Millennium 850-N;Nábytkový zámek Millennium 850-N;14,16;
4727;Nábytkový zámek 852 tenké tělo;nabytkovy-zamek-852-tenke-telo;;;;5707734752db6;;5;0,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek 852 tenké tělo;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek 852 tenké tělo;Nábytkový zámek 852 tenké tělo;14,16;
4728;Nábytkový zámek 850-dvojitý výsuv závory;nabytkovy-zamek-850-dvojity-vysuv-zavory;;;;1401090;;5;89,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Zámek umožňující zamykání pomocí dlouhé závory.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek 850-dvojitý výsuv závory;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek 850-dvojitý výsuv závory;Nábytkový zámek 850-dvojitý výsuv závory;14,16;
4729;Nábytkový zámek Millennium 853-N;nabytkovy-zamek-millennium-853-n;;;;1401269;;5;75,00;0,00;0,00;0,00;0;NULL_VALUE;0,00;7;;2;years;;;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek Millennium 853-N;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek Millennium 853-N;Nábytkový zámek Millennium 853-N;14,16;
4730;Nábytkový zámek 850-T-trubkový klíč;nabytkovy-zamek-850-t-trubkovy-klic;;;;1400101;;5;141,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Nábytkový zámek s vysokým počtem neopakovatelnosti klíčů (2000ks). Další výhodou zámku je, že klíč nelze vyjmout ze zámku v odemčené poloze.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek 850-T-trubkový klíč;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek 850-T-trubkový klíč;Nábytkový zámek 850-T-trubkový klíč;14,16;
4731;Nábytkový zámek-dvojité zamykání;nabytkovy-zamek-dvojite-zamykani;;;;523ab3faad6f6;;5;0,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Nábytkový zámek využívající možnosti zamykání do vertikální i horizontální strany. Vhodný hlavně pro dvojité dveře.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek-dvojité zamykání;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek-dvojité zamykání;Nábytkový zámek-dvojité zamykání;14,16;
4732;Nábytkový zámek střelkový 856;nabytkovy-zamek-strelkovy-856;;;;1401481;;5;90,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Zámek vhodný hlavně pro hotelové minibary, příruční pokladny apod.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek střelkový 856;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek střelkový 856;Nábytkový zámek střelkový 856;14,16;
4733;Nábytkový zámek střelkový  856 s otočným knoflíkem;nabytkovy-zamek-strelkovy-856-s-otocnym-knoflikem;;;;1401486;;5;0,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;10;;2;years;;<p> 	Zámek vhodný pro vybavení karavanů a nábytku na lodích.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek střelkový  856 s otočným knoflíkem;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek střelkový  856 s otočným knoflíkem;Nábytkový zámek střelkový  856 s otočným knoflíkem;14,16;
4734;Nábytkový zámek roletový 855;nabytkovy-zamek-roletovy-855;;;;523bf9e846370;;5;0,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Nábytkový zámek využívaný k zamykání roletových (žaluziových) dveří v horizontální i vertikální poloze.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek roletový 855;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek roletový 855;Nábytkový zámek roletový 855;16;
