"id";"active";"name";"category";"priceNoVAT";"taxRules";"priceWholesale";"onSale";"discount";"discountPerecent";"discountFrom";"discountTo";"reference";"suplierReference";"suplier";"manufacturer";"EAN13";"UPC";"ecoTax";"width";"height";"depth";"weight";"deliveryDayCount";"deliveryDayCountNoWarehous";"quantity";"minimalQuantity";"lowStockLevel";"sendEmailIfLow";"visibility";"additionalShippingCost";"unity";"unitPrice";"shortDescription";"description";"tags";"metaTitle";"metaKeywords";"metaDescription";"urlRewrite";"textInStock";"textBackOrderAllowed";"availableForOrder";"productAvailableDate";"productCreationDate";"showPrice";"imageLinks";"imageAltTexts";"deleteImages";"feature";"onlyOnline";"condition";"customizeable";"uploadableFiles";"textFields";"actionIfOutOfStock";"virtualProduct";"fileURL";"amountOfAllowedDownloads";"expieryDate";"shopID";"advancedStockManagement";"dependsOnStock";"warehouse";"accesories"
"4712400";true;"Nábytkový zámek SISO 850";"14100,16100";"0,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo4712";"RP-demo4712";;;;;0;0;0;0;0;7;14;0;0;0;0;"both";;;;"";"";"nábytkový, zámek, 850, siso";"Meta title-Nábytkový zámek SISO 850";"Meta keywords-nábytkový, zámek, 850, siso";"Meta description-";"nabytkovy-zamek-siso-850";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/4712/8226-Original.jpg,http://www.sisocz.cz/images/products/4712/9241-Original.jpg,http://www.sisocz.cz/images/products/4712/9346-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"4724400";true;"Nastavitelný nábytkový zámek Serbia";"14100";"157,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo4724";"RP-demo4724";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"<p> 	Nábytkový zámek s možností nastavení osové vzdálenosti.</p>";"";"Meta title-Nastavitelný nábytkový zámek Serbia";"Meta keywords-";"Meta description-";"nastavitelny-nabytkovy-zamek-serbia";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/4724/6555-Original.jpg,http://www.sisocz.cz/images/products/4724/6556-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"4725400";true;"Nastavitelný nábytkový zámek X-965";"14100,16100";"1,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo4725";"RP-demo4725";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"<p> 	Nábytkový zámek s možností nastavení osové vzdálenosti a následnou fixací 15, 20, 25, 30, 35 a 40 mm.</p>";"";"Meta title-Nastavitelný nábytkový zámek X-965";"Meta keywords-";"Meta description-";"nastavitelny-nabytkovy-zamek-x-965";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/4725/6557-Original.jpg,http://www.sisocz.cz/images/products/4725/6558-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"4726400";true;"Nábytkový zámek Millennium 850-N";"14100,16100";"0,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo4726";"RP-demo4726";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"";"";"Meta title-Nábytkový zámek Millennium 850-N";"Meta keywords-";"Meta description-";"nabytkovy-zamek-millennium-850-n";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/4726/6559-Original.jpg,http://www.sisocz.cz/images/products/4726/6560-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"4727400";true;"Nábytkový zámek 852 tenké tělo";"14100,16100";"0,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo4727";"RP-demo4727";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"";"";"Meta title-Nábytkový zámek 852 tenké tělo";"Meta keywords-";"Meta description-";"nabytkovy-zamek-852-tenke-telo";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/4727/6561-Original.jpg,http://www.sisocz.cz/images/products/4727/6562-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"4728400";true;"Nábytkový zámek 850-dvojitý výsuv závory";"14100,16100";"89,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo4728";"RP-demo4728";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"<p> 	Zámek umožňující zamykání pomocí dlouhé závory.</p>";"";"Meta title-Nábytkový zámek 850-dvojitý výsuv závory";"Meta keywords-";"Meta description-";"nabytkovy-zamek-850-dvojity-vysuv-zavory";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/4728/6563-Original.jpg,http://www.sisocz.cz/images/products/4728/7739-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"4729400";true;"Nábytkový zámek Millennium 853-N";"14100,16100";"75,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo4729";"RP-demo4729";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"";"";"Meta title-Nábytkový zámek Millennium 853-N";"Meta keywords-";"Meta description-";"nabytkovy-zamek-millennium-853-n";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/4729/6568-Original.jpg,http://www.sisocz.cz/images/products/4729/6569-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"4730400";true;"Nábytkový zámek 850-T-trubkový klíč";"14100,16100";"141,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo4730";"RP-demo4730";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"<p> 	Nábytkový zámek s vysokým počtem neopakovatelnosti klíčů (2000ks). Další výhodou zámku je, že klíč nelze vyjmout ze zámku v odemčené poloze.</p>";"";"Meta title-Nábytkový zámek 850-T-trubkový klíč";"Meta keywords-";"Meta description-";"nabytkovy-zamek-850-t-trubkovy-klic";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/4730/6570-Original.jpg,http://www.sisocz.cz/images/products/4730/6571-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"4731400";true;"Nábytkový zámek-dvojité zamykání";"14100,16100";"0,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo4731";"RP-demo4731";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"<p> 	Nábytkový zámek využívající možnosti zamykání do vertikální i horizontální strany. Vhodný hlavně pro dvojité dveře.</p>";"";"Meta title-Nábytkový zámek-dvojité zamykání";"Meta keywords-";"Meta description-";"nabytkovy-zamek-dvojite-zamykani";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/4731/6572-Original.jpg,http://www.sisocz.cz/images/products/4731/6573-Original.jpg,http://www.sisocz.cz/images/products/4731/6574-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
"4732400";true;"Nábytkový zámek střelkový 856";"14100,16100";"90,00";1;;"0";0;0;"2000-01-01";"2000-01-02";"RP-demo4732";"RP-demo4732";;;;;0;0;0;0;0;7;14;;0;0;0;"both";;;;"";"<p> 	Zámek vhodný hlavně pro hotelové minibary, příruční pokladny apod.</p>";"";"Meta title-Nábytkový zámek střelkový 856";"Meta keywords-";"Meta description-";"nabytkovy-zamek-strelkovy-856";"Dostupné";"Momentálně nedostupné. Možná objednávka";1;"2000-01-01";"2000-01-01";1;"http://www.sisocz.cz/images/products/4732/6575-Original.jpg,http://www.sisocz.cz/images/products/4732/6576-Original.jpg,http://www.sisocz.cz/images/products/4732/6577-Original.jpg";;0;;0;"new";0;0;0;;0;;;;0;0;0;0;
